"raw_value","canonical_value"
"2c recoverable resources","2c contingent resources"
"2c resources","2c contingent resources"
"2p","2p reserves"
"3p","3p reserves"
"5f resources","5f"
"[not stated]","unknown"
"a+b1+b2+c1","a + b1 + b2 + c1"
"ab1b2","a + b1 + b2"
"adjusted average estimate (pe)","adjusted average estimate"
"b+c1","b + c1"
"c1 reserves","c1"
"c2 geological reserves","c2"
"calculated ultimate recovery","ultimate recovery"
"current recoverable reserves","remaining recoverable reserves"
"current reserves","remaining reserves"
"economic resources (pgi)","economic resources"
"estimated","estimated reserves"
"estimated gas reserves","estimated reserves"
"estimated gas-in-place","estimated in place"
"estimated initial quantity","estimated reserves"
"estimated initial recoverable","estimated recoverable reserves"
"estimated oil-in-place","estimated in place"
"estimated potential recoverable","estimated recoverable reserves"
"estimated proven reserves","proved reserves"
"estimated recoverable resource","estimated recoverable reserves"
"estimated total geological res","estimated reserves"
"estimated total reserves","estimated reserves"
"expected reserves","estimated reserves"
"gas initially in place","gas in place"
"geological","geological reserves"
"geological c1","geological reserves"
"geological c2","geological reserves"
"geological c3","geological reserves"
"geological reserves c1 + c2","geological reserves"
"geological reserves b+c1","geological reserves"
"geological reserves c2","geological reserves"
"geological b + c1 yu1-2","geological reserves"
"geological b + c1 yu1-3","geological reserves"
"geological c2 yu1-2","geological reserves"
"gross 2c resources","2c contingent resources"
"gross mean contingent resource","contingent resources"
"gross prospective resource (me","prospective resources"
"gross proved reserves","proved reserves"
"gross recoverable","recoverable reserves"
"gross recoverable resources","recoverable resources"
"gross reserves","reserves"
"gross resources","resources"
"gross undeveloped 2p reserves","2p reserves"
"in place reserve","in place reserves"
"in place volume","volume in place"
"in-place reserves","in place reserves"
"initial","initial reserves"
"initial estimated reserves","initial reserves"
"initial geological reserves","geological reserves"
"initial geological reserves c1","geological reserves"
"initial hydrocarbons in place","volume in place"
"initial in place","volume in place"
"initial recoverable b+c1 yu1","initial recoverable reserves"
"initial recoverable c2 yu1-2","initial recoverable reserves"
"initially in place","volume in place"
"initially in place (base case","volume in place"
"mean","mean estimate"
"mean prospective resources","prospective resources"
"mean recoverable resource","recoverable reserves"
"middle estimate","mean estimate"
"original 1p reserves","1p reserves"
"original condensate in place","condensate in place"
"original gas in place","gas in place"
"original oil in place","oil in place"
"original recoverable reserves","initial recoverable reserves"
"original volume in place","volume in place"
"p50 prospective resources","prospective resources"
"p50 recoverable resources","recoverable resources"
"p90 estimate","p90"
"possible reserves","3p reserves"
"potential gas in place","gas in place"
"potential gross reserves","gross potential"
"pre-drill oil-in-place","oil in place"
"preliminary estimates","estimated reserves"
"preliminary resource estimate","estimated resources"
"preliminary volume","estimated in place"
"probable reserves","2p reserves"
"prospective gas resource (mean","prospective resources"
"proved","proved reserves"
"proved developed","proved reserves"
"proved ultimate production","ultimate recovery"
"proven","proved reserves"
"proven extractable resources","proved reserves"
"proven geological reserves","geological reserves"
"proven reserve","proved reserves"
"proven reserves","proved reserves"
"proven ultimate recoverable re","ultimate recovery"
"recoverable","recoverable reserves"
"recoverable c1","recoverable reserves"
"recoverable c1 + c2 reserves","recoverable reserves"
"recoverable c1 reserves","recoverable reserves"
"recoverable c2","recoverable reserves"
"recoverable c3","recoverable reserves"
"recoverable cushion gas","recoverable reserves"
"recoverable estimate (pmean)","recoverable reserves"
"recoverable reserves a+b1+b2+c","recoverable reserves"
"recoverable reserves c1","recoverable reserves"
"recoverable reserves c1 + c2","recoverable reserves"
"recoverable reserves b+c1","recoverable reserves"
"recoverable reserves c2","recoverable reserves"
"recoverable resource","recoverable resources"
"recoverable volumes","recoverable reserves"
"recovered reserves","recoverable reserves"
"remaining calculated reserves","remaining reserves"
"remaining economically recover","remaining recoverable reserves"
"remaining gross 2p reserves","remaining reserves"
"remaining oil in place","oil in place"
"remaining proved reserves","remaining reserves"
"remaining recoverable oil reso","remaining recoverable reserves"
"remaining recoverable resource","remaining recoverable reserves"
"remaining recoverable b+c1","remaining recoverable reserves"
"remaining recoverable c2 yu1-","remaining recoverable reserves"
"remaining technical resource","remaining recoverable reserves"
"reserve","reserves"
"residual recoverable reserves","remaining recoverable reserves"
"residual reserves","remaining reserves"
"resources in place","volume in place"
"secure reserves","proved reserves"
"static giip","giip"
"stiiop","stoiip"
"technically recoverable reserv","recoverable reserves"
"total expected reserves","estimated reserves"
"total gross resources","resources"
"total proven reserves","proved reserves"
"total recoverable reserves","recoverable reserves"
"total reserves","reserves"
"ultimate expected recovery","ultimate recovery"
"ultimate recoverable resources","ultimate recovery"
"unrisked gross contingent reso","contingent resources"
"unrisked prospective resources","prospective resources"
"volumetric calculation","geological reserves"
"а + в + с1","a + b + c1"
"а + в1 + в2 + с1","a + b1 + b2 + c1"
"авс1 + с2","abc1 + c2"
"авс1+с2","abc1 + c2"
"в + с1","b + c1"
"в + с1 balance reserves","b + c1 balance reserves"
"в + с1 recoverable reserves","b + c1 recoverable reserves"
"в1","b1"
"в2","b2"
"с1 + c2","c1 + c2"
"с1 + с2","c1 + c2"
"с1 recoverable reserves","c1 recoverable reserves"
"с2 balance reserves","c2 balance reserves"
"с2 recoverable reserves","c2 recoverable reserves"
